,0
0,204891.92
1,690463.2
2,298327.03
3,254600.89
4,544046.5
5,87560.73
6,240771.0
7,168900.75
8,259607.86
9,189127.02
10,63288.746
11,359004.44
12,278395.88
13,361048.03
14,463336.75
15,126784.99
16,152788.31
17,143833.47
18,749166.94
19,405433.47
20,50758.824
21,392609.0
22,345641.25
23,247485.77
24,177260.86
25,134802.67
26,368679.6
27,191110.36
28,1576735.8
29,110816.94
30,359028.03
31,191070.81
32,147843.8
33,614355.5
34,1461359.4
35,832034.3
36,152945.89
37,202483.62
38,132818.1
39,474803.72
40,520639.0
41,115882.36
42,221825.14
43,876022.06
44,88240.41
45,114655.77
46,102786.875
47,828951.0
48,714665.2
49,254688.34
50,370201.28
51,46717.492
52,625736.4
53,224413.19
54,738011.0
55,97682.164
56,421033.25
57,143391.78
58,372522.75
59,207550.84
60,285990.28
61,606776.6
62,389315.22
63,135593.42
64,371862.53
65,185394.86
66,208925.47
67,597266.94
68,111250.66
69,311004.3
70,93766.29
71,275071.94
72,259369.56
73,2027003.1
74,391922.9
75,775848.94
76,31402.262
77,143106.11
78,349504.2
79,872628.3
80,84454.44
81,691979.4
82,176742.81
83,230739.53
84,247027.84
85,93960.0
86,445279.88
87,410254.06
88,185538.67
89,806490.7
90,607002.4
91,147973.42
92,263196.88
93,659133.0
94,236424.78
95,318695.78
96,102520.586
97,434785.38
98,449553.12
99,239238.14
100,177426.77
101,166911.66
102,188788.95
103,146476.73
104,204968.34
105,331223.72
106,101305.805
107,169524.78
108,313002.94
109,256684.67
110,349037.53
111,560923.6
112,38942.2
113,435758.0
114,275094.5
115,540632.9
116,449887.7
117,509634.44
118,490317.25
119,436761.06
120,405257.22
121,149499.12
122,424123.06
123,128414.125
124,258484.53
125,258924.44
126,610086.94
127,428084.25
128,311199.22
129,517452.72
130,1865992.1
131,131561.98
132,180687.38
133,102695.55
134,378746.56
135,181462.06
136,305882.9
137,355018.53
138,260235.25
139,144418.45
140,257823.52
141,178887.25
142,384529.38
143,254607.23
144,138468.34
145,116419.03
146,92757.96
147,294833.12
148,305670.03
149,68176.69
150,247746.95
151,362544.8
152,327700.94
153,577017.5
154,216636.75
155,290500.06
156,1222639.2
157,164293.69
158,129338.63
159,312798.22
160,85862.57
161,146694.27
162,122008.07
163,91455.68
164,274428.4
165,242645.5
166,232347.97
167,390393.44
168,279796.22
169,397884.5
170,158688.6
171,737007.3
172,204190.88
173,207651.22
174,138826.53
175,141900.27
176,384032.8
177,55991.156
178,214575.47
179,291075.5
180,70969.05
181,207737.38
182,429436.1
183,262182.03
184,377081.5
185,156455.0
186,329837.1
187,483906.2
188,1265123.2
189,319261.62
190,176934.72
191,414421.53
192,109411.984
193,207935.58
194,397655.4
195,98884.71
196,192906.52
197,134362.7
198,80688.266
199,210301.81
200,1306181.6
201,135038.9
202,192523.86
203,547727.1
204,69947.65
205,55705.2
206,286480.28
207,826471.6
208,144726.61
209,245304.47
210,107630.27
211,586665.06
212,227740.97
213,532642.6
214,419519.0
215,309928.62
216,197416.19
217,313562.53
218,523171.47
219,85172.03
220,1039108.0
221,596578.7
222,204847.38
223,54856.793
224,633029.1
225,209185.88
226,297139.03
227,984237.5
228,144953.55
229,89119.945
230,132385.73
231,167624.22
232,207148.42
233,266875.44
234,163796.97
235,145704.06
236,417512.6
237,201594.98
238,415356.53
239,457830.38
240,119730.76
241,223965.92
242,342011.12
243,217326.47
244,83716.62
245,406465.97
246,75003.45
247,285458.9
248,167176.58
249,367355.4
250,352501.78
251,749009.1
252,1211156.0
253,249326.94
254,264027.75
255,174767.5
256,167157.92
257,392413.6
258,206526.3
259,103930.28
260,709852.6
261,66185.07
262,411928.88
263,300872.22
264,491786.84
265,305210.94
266,96316.8
267,140196.12
268,153425.95
269,856676.94
270,463353.03
271,234153.33
272,377327.53
273,277642.9
274,477925.62
275,1038310.6
276,461514.94
277,226964.55
278,574321.3
279,230808.19
280,62920.8
281,148561.94
282,234698.36
283,211414.25
284,224576.77
285,153137.67
286,847039.7
287,207921.31
288,145148.05
289,217619.5
290,318099.12
291,135358.3
292,549205.25
293,906338.2
294,760353.1
295,157752.02
296,435476.72
297,346939.47
298,192308.98
299,197064.44
300,206240.31
301,185256.31
302,260109.95
303,390366.62
304,145131.42
305,213129.9
306,196121.56
307,392150.56
308,82577.0
309,1444229.4
310,194218.05
311,183212.42
312,178083.5
313,96455.51
314,407496.5
315,207349.66
316,747087.9
317,263700.6
318,354280.88
319,128619.18
320,41558.85
321,184339.7
322,88446.99
323,194173.06
324,623028.8
325,236958.84
326,209299.4
327,63837.953
328,147373.77
329,2152014.5
330,588443.0
331,121987.375
332,698089.3
333,165434.84
334,251623.69
335,366181.53
336,1473742.8
337,233714.48
338,348683.84
339,434200.28
340,843100.25
341,227397.4
342,148472.84
343,92816.45
344,38444.67
345,215201.11
346,564693.06
347,199549.06
348,676171.44
349,71483.38
350,861337.4
351,184749.42
352,289431.53
353,490612.9
354,373545.2
355,537240.1
356,250603.25
357,122552.32
358,210730.45
359,165481.84
360,280824.56
361,676408.8
362,435000.25
363,585793.5
364,574021.3
365,433799.25
366,159343.86
367,224794.69
368,177365.36
369,231305.53
370,153995.45
371,395286.56
372,251205.05
373,280462.22
